ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3_05-01-2014;YUCA;16;4;50;SRTA. GELABERT, L. (48);NAZARENA;SALGUERO, J.;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_05-01-2014;TASHQEEL (GB);99;6;63;SR. BENITEZ, D. (61);TRES MALAGUEÑAS;ANAYA, O.;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_05-01-2014;FELIPE EL HERMOSO (FR);10;6;62;SR. SARABIA, D.;RIO CUBAS;ANAYA, O.;12;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_05-01-2014;RUBENS;6;9;59;R. RAMOS;YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_05-01-2014;SOL DYHIM;1;4;58;J.L. MARTINEZ;MANOLA;VALENTI, B.;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_05-01-2014;MICKEY (GER);9;4;57;J.E. JARCOVSKY;HABIT;FERNANDEZ R., J.C.;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_05-01-2014;CAÑADIO (IRE);4;7;56;O.O DE URBINA;HISPANICA;FERNANDEZ R., J.C.;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_05-01-2014;JUAN DANIEL;2;5;56;R. SOUSA (54);JEREZANA;CALDERON, J.;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_05-01-2014;ALHAPRINCE (IRE);7;10;55;M. GOMES;GUAYCURU;NYKANEN., K.;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_05-01-2014;EL AFRICANO;5;7;55;J. HORCAJADA;LAS AGUILAS;IVANOVA, E.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_05-01-2014;IDEM;11;4;54;M.A. NARVAEZ (53);TALISMAN;RODRIGUEZ, J.A.;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_05-01-2014;SYRILLUS (IRE);3;8;54;SRTA. GELABERT, L. (52);MAIA ALFE;VIDINHA, C.;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_05-01-2014;NOT SO BRIGHT (USA);8;6;53;SR. GELABERT, J. (50);CASTILLO DE CHARETA;ALVARADO, F.;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5_05-01-2014;BURNING LIGHT (IRE);7;7;59;F. ALVARADO;CASTILLO DE CHARETA;ALVARADO, F.;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5_05-01-2014;ACHTUNG;1;6;58;M. GOMES;ENALTO;LOPEZ, J.;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5_05-01-2014;ANGEL ART (FR);8;9;58;R. RAMOS;RANCHO PILAR;RODRIGUEZ, J.A.;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5_05-01-2014;BLACKBERRY BOY (IRE);3;10;58;B. FAYOS;SUNSHINE RACING;HALEY, P.;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5_05-01-2014;INUNDATE (GB);5;5;58;J.E. JARCOVSKY;LABERINTO;CERQUEIRA., J.C;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5_05-01-2014;AZAFATA;2;5;56,5;J. HORCAJADA;PILOTOS 747;LOPEZ, J.;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5_05-01-2014;INHERITED (GB);4;4;56;J.L. MARTINEZ;TINERFE;ANAYA, O.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5_05-01-2014;SINNIEVA;6;4;54,5;J. CROCQUEVIEILLE (55);ZURRAQUIN;HERNANDEZ, M.;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
