ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_26-06-2011;FEARSIDE;4;2 años;58;J.GROSJEAN;SAFSAF;RODRIGUEZ, F.;3;Hipódromo LA ZARZUELA;1000;HIERBA
1_26-06-2011;LA NAVA;2;2 años;56;B.FAYOS;BRAZACORTA;VILLARTA, G.;5;Hipódromo LA ZARZUELA;1000;HIERBA
1_26-06-2011;MARIA ANTONIETA;3;2 años;56;J.L.BORREGO;LA EXTREMEÑA;BORREGO, J.A.;6;Hipódromo LA ZARZUELA;1000;HIERBA
1_26-06-2011;ORLIKA;99;2 años;56;M.SECCI;LAS AGUILAS;VILLARTA, G.;4;Hipódromo LA ZARZUELA;1000;HIERBA
1_26-06-2011;SENTENCE;7;2 años;56;J.L.MARTINEZ;FINCA CAS SANT;FERNANDEZ R., J.C.;2;Hipódromo LA ZARZUELA;1000;HIERBA
1_26-06-2011;SHE RULES (FR);1;2 años;56;J.HORCAJADA;ZURRAQUIN;HERNANDEZ, M.;8;Hipódromo LA ZARZUELA;1000;HIERBA
1_26-06-2011;SILENT HAB;5;2 años;56;D.DIEZ;TADI;DIEZ, D;1;Hipódromo LA ZARZUELA;1000;HIERBA
1_26-06-2011;TYSUN;6;2 años;54;J.CROCQUEVIEILLE;YEGUADA ARANJUEZ;RODRIGUEZ, J.A.;7;Hipódromo LA ZARZUELA;1000;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_26-06-2011;ALBRET (IRE);1;2 años;57;V.JANACEK;QUINTO REAL;ARIZKORRETA, G.;1;Hipódromo LA ZARZUELA;1200;HIERBA
2_26-06-2011;CASTELLANA;5;2 años;57;J.L.MARTINEZ;YEGUADA CORTIÑAL;FERNANDEZ R., J.C.;7;Hipódromo LA ZARZUELA;1200;HIERBA
2_26-06-2011;MARIUS;2;2 años;57;O.O. DE URBINA;LUXEMBURGO;LOPEZ, R.;6;Hipódromo LA ZARZUELA;1200;HIERBA
2_26-06-2011;SAGARIA;99;2 años;57;M.GOMES;LOS PEDROCHES;MARTIN V., R.;4;Hipódromo LA ZARZUELA;1200;HIERBA
2_26-06-2011;SALGAR (IRE);4;2 años;57;J.HORCAJADA;MEDITERRANEO;DELCHER S., M.;5;Hipódromo LA ZARZUELA;1200;HIERBA
2_26-06-2011;SAMSARA;6;2 años;57;B.FAYOS;BRAZACORTA;VILLARTA, G.;3;Hipódromo LA ZARZUELA;1200;HIERBA
2_26-06-2011;VISINDARIO (FR);3;2 años;57;J.L.BORREGO;YEGUADA URDIÑ-ORIYA;PEREZ, F.;2;Hipódromo LA ZARZUELA;1200;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3_26-06-2011;ERIKO;9;4 años;62;M.BORREGO;INSTAGONZA;PEREZ, F.;12;Hipódromo LA ZARZUELA;2000;HIERBA
3_26-06-2011;ARGALY;8;5 años;61;B.FAYOS;RIO CUBAS;FERNANDEZ R., J.C.;2;Hipódromo LA ZARZUELA;2000;HIERBA
3_26-06-2011;BARROCCO;7;5 años;60;J.C.CERQUEIRA;LLAS;LOPEZ VALVERDE, J.A.;1;Hipódromo LA ZARZUELA;2000;HIERBA
3_26-06-2011;DIAMANTE BLANCO;10;4 años;59;M.SECCI;LAS AGUILAS;VILLARTA, G.;3;Hipódromo LA ZARZUELA;2000;HIERBA
3_26-06-2011;DON HERNANDO HAB;1;3 años;58,5;J.CROCQUEVIEILLE;GONZALO HERNANDO-ABOIN;CARRASCO, A.;10;Hipódromo LA ZARZUELA;2000;HIERBA
3_26-06-2011;AMERICAN GANGSTER;3;3 años;56,5;O.O. DE URBINA;DE LA FUENTE STUD;DUREPAIRE, Y.;7;Hipódromo LA ZARZUELA;2000;HIERBA
3_26-06-2011;DIAMANT DU SOLEIL (FR);2;3 años;56,5;J.L.BORREGO;CIELO DE MADRID;RODRIGUEZ, O.;6;Hipódromo LA ZARZUELA;2000;HIERBA
3_26-06-2011;BETANZOS;4;3 años;54,5;J.HORCAJADA (B.Amarilla);LLAS;LOPEZ VALVERDE, J.A.;5;Hipódromo LA ZARZUELA;2000;HIERBA
3_26-06-2011;KURDO (FR);6;3 años;54,5;V.JANACEK;YEGUADA AGF;ARIZKORRETA, G.;8;Hipódromo LA ZARZUELA;2000;HIERBA
3_26-06-2011;CASPIAN BOY;11;3 años;53,5;J.GROSJEAN (54);REZA PAZOOKI;RODRIGUEZ, F.;11;Hipódromo LA ZARZUELA;2000;HIERBA
3_26-06-2011;MAYERLING (FR);5;3 años;53,5;J.L.MARTINEZ;ODISEA;DELCHER P., M.;9;Hipódromo LA ZARZUELA;2000;HIERBA
3_26-06-2011;SIBILA (IRE);99;3 años;52;M.GOMES;DUQUE DE ALBURQUERQUE;OSORIO, J.M.;4;Hipódromo LA ZARZUELA;2000;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_26-06-2011;HULRICK;10;5 años;62;J.JIMENEZ (60);JIMENEZ;JIMENEZ, J.;3;Hipódromo LA ZARZUELA;1600;HIERBA
4_26-06-2011;BILBO (FR);9;4 años;61;E.MELIAN (59);RIO AULENCIA;ARIZKORRETA, G.;11;Hipódromo LA ZARZUELA;1600;HIERBA
4_26-06-2011;ALABAMA;1;3 años;59,5;J.HORCAJADA;MADROÑOS;MARTIN V., R.;9;Hipódromo LA ZARZUELA;1600;HIERBA
4_26-06-2011;JUNKAL;12;5 años;59;J.CROCQUEVIEILLE;GRAFIMAR;SANCHEZ, A.F.;10;Hipódromo LA ZARZUELA;1600;HIERBA
4_26-06-2011;PEDREÑA;4;4 años;58;V.JANACEK;HISPANICA;RODRIGUEZ, F.;5;Hipódromo LA ZARZUELA;1600;HIERBA
4_26-06-2011;SUISDIVIN (GB);5;5 años;58;O.O. DE URBINA;ODISEA;GOMEZ, I.;1;Hipódromo LA ZARZUELA;1600;HIERBA
4_26-06-2011;SANDOVAL (GB);11;5 años;57;J.L.BORREGO;LEZO;BORREGO, J.A.;2;Hipódromo LA ZARZUELA;1600;HIERBA
4_26-06-2011;DELLA BEND (FR);6;3 años;56,5;B.FAYOS;JIMENA;SANCHEZ C., A.;6;Hipódromo LA ZARZUELA;1600;HIERBA
4_26-06-2011;BAILONGO;8;3 años;55,5;M.BORREGO;INDIA;RODRIGUEZ, F.;4;Hipódromo LA ZARZUELA;1600;HIERBA
4_26-06-2011;FIGUEIRA DA FOZ;7;3 años;54,5;J.GROSJEAN;LOS TONELES;RODRIGUEZ, F.;12;Hipódromo LA ZARZUELA;1600;HIERBA
4_26-06-2011;VEGA DE CASTILLA (IRE);2;6 años;52;M.GOMES;STAND CARMO;OLIVEIRA, L.A.;7;Hipódromo LA ZARZUELA;1600;HIERBA
4_26-06-2011;MIURA;3;4 años;51;M.SECCI (51,5);STAND VITORIA;OLIVEIRA, L.A.;8;Hipódromo LA ZARZUELA;1600;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5_26-06-2011;CALAMARGO;5;4 años;60;B.FAYOS;JIMENA;SANCHEZ, A.F.;5;Hipódromo LA ZARZUELA;25500;HIERBA
5_26-06-2011;DOMESIDE (GB);6;5 años;60;J.GROSJEAN;SAFSAF;DELCHER S., M.;6;Hipódromo LA ZARZUELA;25500;HIERBA
5_26-06-2011;ENTRE COPAS (GB);1;7 años;60;J.CROCQUEVIEILLE;AFRICA;OSORIO, J.M.;1;Hipódromo LA ZARZUELA;25500;HIERBA
5_26-06-2011;KARLUV MOST (FR);2;5 años;60;O.O.DE URBINA;CHOLAICA;MAROTO, J.L.;2;Hipódromo LA ZARZUELA;25500;HIERBA
5_26-06-2011;MAGICIAN'S CAPE (IRE);7;4 años;60;J.C.CERQUEIRA;DANIEL ROSET;CALLEJO S., T;3;Hipódromo LA ZARZUELA;25500;HIERBA
5_26-06-2011;PLANTAGENET;3;4 años;60;J.L.BORREGO;WHYLAR;ARIZKORRETA, G.;7;Hipódromo LA ZARZUELA;25500;HIERBA
5_26-06-2011;SEÑOR MIRANDA (GB);4;4 años;60;V.JANACEK;LOS TONELES;RODRIGUEZ, F.;4;Hipódromo LA ZARZUELA;25500;HIERBA
