27/08/2012;;;;;;;;
HIPODROMO DE SAN SEBASTIAN;;;;;;;;
;;;;;;;;
1ª Carrera;;2200 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;CELTIC ROCK(GB);2;3;62;J.L.MARTINEZ;C.HABIT;J.C.FERNANDEZ;2
2;CITE SOLEIL(FR);5;3;57;J.M.SANCHEZ C (54);C.ROBER;R.AVIAL;1
3;HAMELIN;3;3;57;A.GOMEZ;Y.MILITAR;J.P.ESPINOSA;3
4;PASIEGA(IRE);1;3;56,5;J.CROCQUEVIEILLE;C.BERING;J.L.MAROTO;5
5;IL CAPO DEI CAPI(FR);6;3;56;O.O.DE URBINA;C.DI BENISICHI;J.LOPEZ;6
6;DIAMOND BEAT(IRE);4;3;54,5;J.GROSJEAN;C.KOTARRO;A.SANCHEZ M;4
;;;;;;;;
2ª Carrera;;1300 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;COTONIO;3;2;57;J.L.BORREGO;C.ONE;M.J.PEREZ;3
2;IBRI;5;2;55,5;M.BORREGO (56);Y.MILITAR;A.SUÑEN;2
3;MESENA;6;2;55,5;O.O.DE URBINA;C.EFES;A.CARRASCO;4
4;SOL DYHIM;2;2;55,5;V.JANACEK;C.MANOLA;A.SANCHEZ C;5
5;DUENDECILLO;1;2;55;A.GOMEZ;C.ISABEL;I.GOMEZ;1
6;IGUALON;4;2;55;J.L.MARTINEZ (B.blanca);Y.MILITAR;J.P.ESPINOSA;6
7;SON OF THE AIR;7;2;55;J.CROCQUEVIEILLE;C.LA TOLEDANA;J.L.MAROTO;7
;;;;;;;;
3ª Carrera;;1600 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJON
1;SIDRA;99;4;62;V.JANACEK;C.SEGAIR;E.PUENTE;7
2;SILENT HAB;4;3;61,5;R.RAMOS;C.ROMALU;B.J.RECIO;8
3;BOMBAY CANALLA;99;4;59;M.BORREGO;MG RACING;M.J.PEREZ;6
4;CAPITAL;99;5;55;A.GOMEZ;C.BOBBY;I.GOMEZ;1
5;NAMIA(FR);5;9;54;M.GOMES;C.JIMENEZ;B.J.RECIO;5
6;MAYDRIT SANTOS;2;4;52;C.CAZALIS;C.HOTELES SANTOS;E.PUENTE;2
7;KALIMUTXO(FR);3;5;50;J.M.SANCHEZ M (49);C.ROBER;R.AVIAL;4
8;XAMURAY;1;8;50;I.KOPLIKOVA (B.roja);C.BOBBY;I.GOMEZ;3
;;;;;;;;
4ª Carrera;;1600 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JIINETE;CUADRA;PREPARADOR;CAJÓN
1;AS DE THOMAS(GB);3;6;62;J.L.MARTINEZ;C.CUATRO JOTAS;B.J.RECIO;3
2;ARATAN(IRE);8;5;62;J.CROCQUEVIEILLE;C.ODISEA;I.GOMEZ;11
3;SANDOVAL(GB);4;6;59;R.H.HUAYAS;G.HERNANDO ABOIN;A.CARRASCO;2
4;FLASH VAL;6;4;59;M.BORREGO;REZA PAZOOKI;F.RODRIGUEZ;5
5;EL ULTIMO AMOR(IRE);99;6;58;I.KOPLIKOVA;C.EL SABLE;E.PUENTE;1
6;CAÑADIO(IRE);10;5;58;C.FERNANDEZ (56);C.HISPANICA;J.C.FERNANDEZ;4
7;CHIQUI;7;3;57,5;C.CAZALIS;C.SUFLE;J.C.FERNANDEZ;6
8;LEY DE LEYES(FR);9;4;57;V.JANACEK (B.roja);C.EL SABLE;E.PUENTE;10
9;FEARSIDE;2;3;56,5;J.GROSJEAN;C.SAFSAF;F.RODRIGUEZ;7
10;ALABAMA;1;4;56;O.O. DE URBINA;C.REMOLINA;A.REMOLINA;8
11;OCEANICO;5;4;55;G.MADERO;C.APAI;D.DEL BARRIO;9
;;;;;;;;
5ª Carrera;;2000 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;DUNNBOINEE(IRE);2;4;61,5;G.MADERO;C.MARTUL;A.IMAZ C;2
2;SEÑOR MIRANDA(GB);4;5;61,5;J.L.MARTINEZ;C.LOS TONELES;F.RODRIGUEZ;1
3;RISQUILLO(FR);3;6;59,5;O.O. DE URBINA;C.EL RISQUILLO;A.CARRASCO;3
4;ARSALAN(GB);1;3;58;J.GROSJEAN;REZA PAZOOKI;F.RODRIGUEZ;4
