ID,CABALLO,POSICION,EDAD,KG,JINETE,CUADRA,PREPARADOR,CAJÓN,HIPODROMO,DISTANCIA,PISTA
2_23-02-2014,BALTAZAR (IRE),6,3 años,56,J.L.BORREGO,BARREIROS,"ROSELL, J.C.",12,Hipódromo LA ZARZUELA,1400,HIERBA
2_23-02-2014,BARBILLON (GB),3,3 años,56,J.CROCQUEVIEILLE,SAN JOSE,"CALLEJO S., T",6,Hipódromo LA ZARZUELA,1400,HIERBA
2_23-02-2014,CAMARLENGO,11,3 años,56,M.BORREGO,CIELO DE MADRID,"RODRIGUEZ, O.",15,Hipódromo LA ZARZUELA,1400,HIERBA
2_23-02-2014,CHARLITO,10,3 años,56,M.GOMES,CDE CIBELES,"HERNANDEZ, M.",14,Hipódromo LA ZARZUELA,1400,HIERBA
2_23-02-2014,IL DOCTORE (GB),13,3 años,56,F.JOHANSSON (B.Blanca),SAN JOSE,"CALLEJO S., T",9,Hipódromo LA ZARZUELA,1400,HIERBA
2_23-02-2014,KING OF SILENCE (FR),8,3 años,56,F.JIMENEZ,YEGUADA URDIÑ-ORIYA,"PEREZ, F.",10,Hipódromo LA ZARZUELA,1400,HIERBA
2_23-02-2014,MONACO,99,3 años,56,R.RAMOS,TOP SECRET,"RECIO, B.",11,Hipódromo LA ZARZUELA,1400,HIERBA
2_23-02-2014,RIBAHUI,4,3 años,56,J.L.MARTINEZ,CALEJAÑA,"FERNANDEZ R., J.C.",4,Hipódromo LA ZARZUELA,1400,HIERBA
2_23-02-2014,SERANDY (FR),14,3 años,56,A.GOMEZ,LAS MIERES,"SANCHEZ C., A.",3,Hipódromo LA ZARZUELA,1400,HIERBA
2_23-02-2014,YUSO (IRE),1,3 años,56,O.O. DE URBINA,BERING,"LOPEZ, J.",1,Hipódromo LA ZARZUELA,1400,HIERBA
2_23-02-2014,CALEDONIA,9,3 años,"54,5","S.BERMEJO (51,5)",SIERRA DE GUADARRAMA,"RODRIGUEZ, O.",5,Hipódromo LA ZARZUELA,1400,HIERBA
2_23-02-2014,MACATU,5,3 años,"54,5",M.SECCI,VALLEJUNCO,"MAROTO, J.L.",7,Hipódromo LA ZARZUELA,1400,HIERBA
2_23-02-2014,NEXT TO ME (IRE),12,3 años,"54,5",G.MADERO,ALISARES,"GELABERT, B.",2,Hipódromo LA ZARZUELA,1400,HIERBA
2_23-02-2014,NORMA,2,3 años,"54,5",V.JANACEK,YEGUADA AGF,"ARIZKORRETA, G.",8,Hipódromo LA ZARZUELA,1400,HIERBA
2_23-02-2014,NUBA (FR),7,3 años,"54,5","B.FAYOS (55,5)",LOS ESPARTANOS,"BUZON, E.",13,Hipódromo LA ZARZUELA,1400,HIERBA
