ID,CABALLO,POSICION,EDAD,KG,JINETE,CUADRA,PREPARADOR,CAJÓN,HIPODROMO,DISTANCIA,PISTA
5_12-02-2012,INDIAN LOU,99,60,5,J. CROCQUEVIEILLE,BARREIROS,J. C. ROSELL,2,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
5_12-02-2012,COSIDE (USA),4,59,4,J. GROSJEAN,SAFSAF,M. DELCHER S.,3,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
5_12-02-2012,WHISTLEINTHEWIND (IRE),2,59,5,V. JANACEK,NANINA,J. CALDERON,9,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
5_12-02-2012,NESKA (GB),3,"58,5",4,F. JIMENEZ,GONZALO HERNANDO-ABOIN,A. CARRASCO,10,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
5_12-02-2012,ROYAL IMARI (USA),99,58,5,O. O. URBINA,LA TOLEDANA,J. L. MAROTO,8,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
5_12-02-2012,DON JEUMONT (POR),5,57,4,E. MELIAN,MILD WEST,J. CALDERON,4,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
5_12-02-2012,LISSELAN MISSILE (USA),99,57,4,S. MARTIN,LISSELAN FARMS,A. R. ACOSTA,5,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
5_12-02-2012,RAAMI (GB),1,57,5,I. LOPEZ,BP SAN MATEO,O. ANAYA,11,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
5_12-02-2012,VAL DA MAHIA,99,57,4,A. GOMEZ,PALMA REAL,J. M. BORREGO,1,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
5_12-02-2012,VIVA A FRANCA (USA),7,57,4,J.C. CERQUEIRA,YEGUADA CORTIÑAL,J. M. BORREGO,6,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
5_12-02-2012,BOUQUETOT BELLE (USA),6,"55,5",4,J.M. SANCHEZ C. (B. ROJA),LISSELAN FARMS,A. R. ACOSTA,7,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
