ID,CABALLO,POSICION,EDAD,KG,JINETE,CUADRA,PREPARADOR,CAJÓN,HIPODROMO,DISTANCIA,PISTA
1_19-02-2012,GARAJONAY(FR),1,3,60,J. GROSJEAN,ASC. SAFSAF-LOS TONELES,F. RODRIGUEZ,7,Hipódromo Costa del Sol.,1300,HIERBA
1_19-02-2012,GOLDEN,10,3,59,C. FERNANDEZ (56),CARBALLOP,J. C. FERNANDEZ,4,Hipódromo Costa del Sol.,1300,HIERBA
1_19-02-2012,OHCAPTAINMYCAPTAIN(FR),3,3,58,A. GOMEZ (56),SAN MARCIAL,J. M. BORREGO B.,1,Hipódromo Costa del Sol.,1300,HIERBA
1_19-02-2012,CANELA FINA,5,3,"57,5","E. MELIAN (54,5)",SOÑADOR,J. SALGUERO,11,Hipódromo Costa del Sol.,1300,HIERBA
1_19-02-2012,CALITXO,4,3,57,I. LOPEZ,M & K RACING,B. RAMA,8,Hipódromo Costa del Sol.,1300,HIERBA
1_19-02-2012,PACIFIC TRADER(GB),6,3,57,F. ALVARADO,CASTILLO DE CHARETA,B. RAMA,5,Hipódromo Costa del Sol.,1300,HIERBA
1_19-02-2012,SCARLATTI,2,3,"56,5",V. JANACEK,Y. CORTIÑAL,J. M. BORREGO R.,9,Hipódromo Costa del Sol.,1300,HIERBA
1_19-02-2012,ALMA DHARMA,9,3,"55,5",F. JIMENEZ A.,JOSE SIMO,J. CALDERON,6,Hipódromo Costa del Sol.,1300,HIERBA
1_19-02-2012,EL DOBLE,8,3,"55,5",J. CROCQUEVIEILLE,PACIENCIA,J. M. OSORIO,3,Hipódromo Costa del Sol.,1300,HIERBA
1_19-02-2012,JUNGLE(GB),7,3,"55,5",J. E. JARCOVSKY (56),LABERINTO,R. AON,10,Hipódromo Costa del Sol.,1300,HIERBA
1_19-02-2012,AMAVAS(IRE),11,3,55,V. SANCHEZ (52),GREILET,A. SANCHEZ,2,Hipódromo Costa del Sol.,1300,HIERBA
