ID,CABALLO,POSICION,EDAD,KG,JINETE,CUADRA,PREPARADOR,CAJÓN,HIPODROMO,DISTANCIA,PISTA
2_16-05-2021,TIERMES,15,4 años,62,J.L.BORREGO,MIRANDA,A.SOTO,11,Hipódromo de La Zarzuela,1800,HIERBA
2_16-05-2021,REY ANTONI,2,6 años,62,J.GELABERT,YEGUADA AGF,G.ARIZKORRETA,10,Hipódromo de La Zarzuela,1800,HIERBA
2_16-05-2021,KOREVSKY (IRE),99,6 años,62,J.GROSJEAN,EQUHIPO,R.AVIAL,9,Hipódromo de La Zarzuela,1800,HIERBA
2_16-05-2021,ARTISTIC VISION (GB),6,4 años,"61,5",L.FONSECA (59),FABULOUS PROGRESS RACING,J.J.CAMPEAO,7,Hipódromo de La Zarzuela,1800,HIERBA
2_16-05-2021,RECUERDA (FR),7,4 años,61,R.RAMOS,YEGUADA VALIENTE,I.LOPEZ,8,Hipódromo de La Zarzuela,1800,HIERBA
2_16-05-2021,ONFALE,11,4 años,"60,5",R.N.VALLE,DUQUE DE ALBURQUERQUE,J.M.OSORIO,14,Hipódromo de La Zarzuela,1800,HIERBA
2_16-05-2021,KARIBBEAN DREAM (FR),3,5 años,60,M.MONTERISO,SAMALASSA,M&M RACING,6,Hipódromo de La Zarzuela,1800,HIERBA
2_16-05-2021,GROSS (FR),5,4 años,60,R.SOUSA,JOSE MICHEL RODRIGUEZ,CH.DELCHER,1,Hipódromo de La Zarzuela,1800,HIERBA
2_16-05-2021,COSSIO,8,5 años,59,N.DE JULIAN,RUSH RACING,M&M RACING,17,Hipódromo de La Zarzuela,1800,HIERBA
2_16-05-2021,DROVER (GB),9,6 años,"58,5",D.FERREIRA (57),PATRIZIA ROSSANA TESTA,M&M RACING,5,Hipódromo de La Zarzuela,1800,HIERBA
2_16-05-2021,LEITZA (FR),13,5 años,58,J.L.MARTINEZ (G.Roja),SAMALASSA,M&M RACING,16,Hipódromo de La Zarzuela,1800,HIERBA
2_16-05-2021,ATLANTICO (GER),4,6 años,56,V.JANACEK,REAPERTURA,A.TSERETELI,3,Hipódromo de La Zarzuela,1800,HIERBA
2_16-05-2021,RAQUIRA (FR),14,4 años,"55,5",J.M. TORO,CELSO MENDEZ,M.ALVAREZ,12,Hipódromo de La Zarzuela,1800,HIERBA
2_16-05-2021,HAVANA MAGIC (GB),16,6 años,"54,5","SR PULIDO,M. (57,5)",MP RACING,M.PULIDO,15,Hipódromo de La Zarzuela,1800,HIERBA
2_16-05-2021,RAMIRIQUI (FR),1,4 años,"54,5",B.FAYOS (55),ANTHONY DENNIS FORDE,F.RODRIGUEZ,4,Hipódromo de La Zarzuela,1800,HIERBA
2_16-05-2021,VELETA,10,4 años,"52,5",M.HRUBOSOVA (49),POPURRI,M.J.PEREZ,2,Hipódromo de La Zarzuela,1800,HIERBA
2_16-05-2021,YIYE (GB),12,5 años,"52,5",A.MARTINEZ (51),BRISTOL STUD,T.MARTINS,13,Hipódromo de La Zarzuela,1800,HIERBA
